function,n,n_saddles_found,lambda_min,lambda_max,r_curv
Styblinski,2,3,-15.852611878887721,29.269552776315564,0.25115948655584175
Styblinski,5,3,-15.852611878888645,29.269552776338536,0.2511594865558344
Styblinski,10,3,-15.852611880215726,34.58305909961913,0.2511594865453217
Styblinski,25,3,-15.85261188261489,34.58305913316529,0.25115948652631626
Styblinski,50,3,-15.85261187899872,34.58305910324598,0.25115948655496245
