optimizer,best_A,best_B,best_C,best_D
GD_fixed,0.0026798961424332342,0.00035608933839022337,0.0,7.992895204262877e-05
Adam,0.2898550724637681,0.058343057176196034,0.016432023195876288,0.01712841253791709
RMSProp,1.0,0.53475935828877,0.004539227895392279,0.014518002322880372
AdaGrad,0.1467351430667645,0.041271151465125874,0.0001342281879194631,0.01399384270920795
AdamW,0.2894356005788712,0.05858230814294083,0.013737373737373739,0.01698766328011611
SGD_Nesterov,0.018130665689955132,0.014618309339239573,0.0,0.01357132554449733
Lion,0.035669698591046906,0.020807324178110695,0.0069385854736021485,0.009726760156137052
