function,pick,optimizer,lr,SEE_A,SEE_B,P_A,P_B,final_mean_lmin,final_frac_left_saddle,final_mean_f,final_mean_dist
Himmelblau,pick_A,RMSProp,0.2,1.0,0.4371584699453552,1.0,1.0,46.350737579835275,1.0,0.729118802740665,4.465093979842683
Himmelblau,pick_B,RMSProp,0.2,1.0,0.4371584699453552,1.0,1.0,46.350737579835275,1.0,0.729118802740665,4.465093979842683
Ackley,pick_A,RMSProp,0.2,1.0,0.1111111111111111,1.0,1.0,0.25606382937759625,0.4125,1.7458739229811684,1.1817186650642393
Ackley,pick_B,AdaGrad,0.2,0.0,0.449438202247191,0.0,1.0,49.19639377047109,1.0,2.638781323331689,0.5729841571902377
Rastrigin,pick_A,RMSProp,0.2,1.0,0.25,1.0,1.0,305.4933418017318,1.0,16.94060095060802,3.2329450273867457
Rastrigin,pick_B,Adam,0.2,0.0,0.7142857142857143,0.0,1.0,396.68881117730524,1.0,0.5223739785935937,0.4972839796470125
Levy,pick_A,RMSProp,0.2,1.0,0.25078369905956116,1.0,1.0,1.87281133889603,1.0,3.4895718034379977,5.090742586868844
Levy,pick_B,RMSProp,0.1,0.18759689922480624,0.43243243243243246,0.55,1.0,1.092758908339412,1.0,0.4437856674024302,2.0661508432007407
