function,n,n_saddles_found,lambda_min,lambda_max,r_curv
Ackley,2,3,-19.026112358037707,14.575110699983153,0.22925824918520513
Ackley,5,3,-5.412282604392104,3.7683447375311343,0.4298429096121677
Ackley,10,3,-3.383393579175144,3.501694824118279,0.5436554418992745
Ackley,25,3,-1.6487964941272164,1.715701158531324,0.7787830171638644
Ackley,50,3,-0.7667022675471166,0.8013315451436976,1.1420539655785558
