function,W,lmin
Himmelblau,0.4196428571428571,-50.61023932036567
Ackley,0.2875,-17.110544238947078
Rastrigin,0.275,-392.7336623081151
Styblinski,0.3339285714285714,-15.852611878888393
Levy,0.5875,-2.95638844571065
