function,W,lmin
Himmelblau,0.41964285714285715,-50.610239320365665
Ackley,0.2875,-17.110544238947078
Rastrigin,0.275,-392.7336623081151
Styblinski,0.3339285714285714,-15.852611878888391
Levy,0.5875,-2.95638844571065
Beale,0.5928571428571429,-27.750000000010512
Schwefel,0.6571428571428571,-0.40385526928798
