function,W,n_items,n_judges,ci_lo,ci_hi,method,B
Himmelblau,0.625,7,4,0.14056919642857144,0.8348214285714286,bootstrap,2000
Ackley,0.48214285714285715,7,4,0.13727678571428573,0.7637276785714266,bootstrap,2000
Rastrigin,0.45200892857142855,7,4,0.15625,0.7276785714285714,bootstrap,2000
Styblinski,0.6004464285714286,7,4,0.046875,0.8571428571428571,bootstrap,2000
Levy,0.4955357142857143,7,4,0.15731026785714286,0.7131696428571429,bootstrap,2000
