function,optimizer,best_A,best_B,best_C,best_D
Himmelblau,GD_fixed,0.6369426751592356,0.5434782608695652,0.9433962264150942,0.22734712230215828
Himmelblau,Adam,0.21645021645021645,0.14255167498218105,1.0,0.14255167498218105
Himmelblau,RMSProp,1.0,1.0,1.0,0.4514672686230249
Himmelblau,AdaGrad,0.20986358866736624,0.19880715705765406,1.0,0.19880715705765406
Himmelblau,AdamW,0.21321961620469082,0.13995801259622115,1.0,0.13995801259622115
Himmelblau,SGD_Nesterov,0.8130081300813008,0.6097560975609756,0.9615384615384615,0.19047619047619047
Himmelblau,Lion,0.029529012254540084,0.01794526693584567,0.4926108374384237,0.01794526693584567
Ackley,GD_fixed,0.3053435114503817,0.25412960609911056,0.7575757575757576,0.25094102885821834
Ackley,Adam,0.0,0.3424657534246575,1.0,0.3327787021630616
Ackley,RMSProp,1.0,0.2857142857142857,1.0,0.2857142857142857
Ackley,AdaGrad,0.0,0.4366812227074236,1.0,0.425531914893617
Ackley,AdamW,0.0007407407407407407,0.338409475465313,1.0,0.32948929159802304
Ackley,SGD_Nesterov,0.5089058524173028,0.25839793281653745,0.8547008547008548,0.2008032128514056
Ackley,Lion,0.0,0.15479876160990713,0.2656042496679947,0.15479876160990713
Rastrigin,GD_fixed,0.9852216748768474,0.3129890453834116,0.9900990099009901,0.3129890453834116
Rastrigin,Adam,0.0,0.6968641114982578,1.0,0.6968641114982578
Rastrigin,RMSProp,1.0,0.42194092827004215,1.0,0.42194092827004215
Rastrigin,AdaGrad,0.0,0.6968641114982578,1.0,0.6968641114982578
Rastrigin,AdamW,0.0,0.7017543859649122,1.0,0.7017543859649122
Rastrigin,SGD_Nesterov,0.9950248756218907,0.3003003003003003,0.9950248756218907,0.3003003003003003
Rastrigin,Lion,0.0,0.2506265664160401,0.9756097560975611,0.2506265664160401
Styblinski,GD_fixed,0.5494505494505494,0.4444444444444444,0.7490636704119851,0.22099447513812154
Styblinski,Adam,0.20768431983385252,0.25157232704402516,1.0,0.25157232704402516
Styblinski,RMSProp,1.0,1.0,1.0,0.5
Styblinski,AdaGrad,0.2,0.26702269692923897,1.0,0.26702269692923897
Styblinski,AdamW,0.20682523267838676,0.24906600249066005,1.0,0.24906600249066005
Styblinski,SGD_Nesterov,0.6968641114982578,0.5277044854881267,0.8368200836820083,0.24125452352231608
Styblinski,Lion,0.025673940949935813,0.03147623544224111,0.24937655860349128,0.03147623544224111
Levy,GD_fixed,0.017117472852912142,0.33167495854063017,0.0,0.14653521126760563
Levy,Adam,0.103009900990099,0.7462686567164178,0.0,0.255
Levy,RMSProp,1.0,0.7462686567164178,1.0,0.255
Levy,AdaGrad,0.013267023718439176,0.7462686567164178,0.0,0.255
Levy,AdamW,0.10383233532934132,0.7633587786259541,0.0,0.255
Levy,SGD_Nesterov,0.1990049751243781,0.437636761487965,0.0,0.23282887077997672
Levy,Lion,0.01307035175879397,0.12012012012012013,0.0,0.04327787021630616
