k,optimizer,best_A,best_B,best_C,best_D
0.0,GD_fixed,0.16849199663016007,0.022254367419606097,0.0,0.022254367419606097
0.0,Adam,0.2066115702479339,0.0,0.0,0.0
0.0,RMSProp,1.0,0.0,1.0,0.0
0.0,AdaGrad,0.20060180541624872,0.0,0.0,0.0
0.0,AdamW,0.20491803278688525,0.0,0.0,0.0
0.0,SGD_Nesterov,0.26143790849673204,0.037320395596193316,0.0,0.037320395596193316
0.0,Lion,0.025634452704434763,0.0,0.0,0.0
0.5882,GD_fixed,0.2898550724637681,0.6097560975609756,0.8658008658008658,0.3484320557491289
0.5882,Adam,0.21927464008859357,0.4504504504504504,0.5154639175257733,0.2805049088359046
0.5882,RMSProp,1.0,0.3831417624521073,0.9950248756218907,0.28449502133712656
0.5882,AdaGrad,0.10875868917576961,0.4618937644341801,0.6369426751592356,0.38986354775828463
0.5882,AdamW,0.21734906695938527,0.4504504504504504,0.5154639175257733,0.2805049088359046
0.5882,SGD_Nesterov,0.6191950464396285,0.60790273556231,0.9345794392523364,0.3780718336483932
0.5882,Lion,0.0,0.24539877300613497,0.23282887077997672,0.1858736059479554
1.1765,GD_fixed,0.6349206349206349,0.6042296072507553,0.970873786407767,0.5952380952380952
1.1765,Adam,0.21773220747889022,0.4618937644341801,0.4938271604938272,0.44150110375275936
1.1765,RMSProp,1.0,0.3846153846153846,0.8163265306122448,0.3838771593090211
1.1765,AdaGrad,0.01916666666666667,0.4597701149425288,0.5847953216374269,0.4587155963302752
1.1765,AdamW,0.21498783454987833,0.4618937644341801,0.4938271604938272,0.44150110375275936
1.1765,SGD_Nesterov,0.8583690987124464,0.3992015968063872,0.9852216748768474,0.39840637450199207
1.1765,Lion,0.0,0.24509803921568626,0.28368794326241137,0.24242424242424243
1.7647,GD_fixed,0.8230452674897119,0.31746031746031744,0.9852216748768474,0.31746031746031744
1.7647,Adam,0.23157318741450067,0.4629629629629629,0.5102040816326531,0.45248868778280543
1.7647,RMSProp,1.0,0.3861003861003861,0.7633587786259541,0.3861003861003861
