function,n,W,n_items,n_judges,ci_lo,ci_hi,method,B
Ackley,2,0.5602678571428571,7,4,0.13939732142857145,0.8113839285714286,bootstrap,2000
Ackley,5,0.5625,7,4,0.11607142857142858,0.8348214285714286,bootstrap,2000
Ackley,10,0.6517857142857143,7,4,0.16071428571428573,0.8928571428571429,bootstrap,2000
Ackley,25,0.828125,7,4,0.4017857142857143,0.8939732142857143,bootstrap,2000
Ackley,50,0.8459821428571429,7,4,0.4029017857142857,0.9107142857142857,bootstrap,2000
