function,n,n_saddles_found,lambda_min,lambda_max,r_curv
Rastrigin,2,3,-392.7336623081154,394.99826380560023,0.05046042874694297
Rastrigin,5,3,-392.7336623081161,396.7841760435742,0.05046042874694292
Rastrigin,10,3,-392.7336623106285,395.9914299674125,0.05046042874678152
Rastrigin,25,3,-392.73366230811644,396.7841760435744,0.05046042874694289
Rastrigin,50,3,-392.7336623115137,396.784176043575,0.05046042874672465
