optimizer,best_A,best_B
GD,0.0,0.0
Adam,0.09124087591240876,0.01012524719841793
RMSProp,1.0,0.006378454996456414
AdaGrad,0.044365572315882874,0.005284601557819053
AdamW,0.09208103130755065,0.010239999999999999
SGD_mom,0.006426778242677824,0.0
